id,category,description,carbohydrate,kilocalories,protein,fat,carb_percentage,protein_percentage,fat_percentage,original_category,generic_category,nutritional_score
11464,SPINACH,"SPINACH,FRZ,CHOPD OR LEAF,CKD,BLD,DRND,WO/SALT",4.8,34,4.0,0.9,44.34180138568129,36.95150115473441,18.70669745958429,SPINACH,vegetables,10.600000000000016
11467,SQUASH,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,RAW",4.0,19,0.9,0.2,74.76635514018692,16.822429906542055,8.411214953271028,SQUASH,vegetables,5.300000000000004
11468,SQUASH,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CKD,BLD,DRND,WO/SALT",4.3,20,0.9,0.3,73.19148936170212,15.319148936170212,11.489361702127658,SQUASH,vegetables,5.800000000000011
11471,SQUASH,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CND,DRND,SOLID,WO/SALT",3.0,13,0.6,0.1,78.43137254901961,15.68627450980392,5.88235294117647,SQUASH,vegetables,3.8000000000000114
11473,SQUASH,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,UNPREP",4.8,20,0.8,0.1,82.40343347639487,13.733905579399144,3.862660944206009,SQUASH,vegetables,5.800000000000011
11474,SQUASH,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,CKD,BLD,DRND,WO/SALT",5.5,25,1.3,0.2,75.86206896551724,17.93103448275862,6.206896551724138,SQUASH,vegetables,7.20000000000001
11475,SQUASH,"SQUASH,SUMMER,SCALLOP,RAW",3.8,18,1.2,0.2,69.72477064220183,22.01834862385321,8.256880733944955,SQUASH,vegetables,5.400000000000013
11476,SQUASH,"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,WO/SALT",3.3,16,1.0,0.2,69.47368421052632,21.052631578947366,9.473684210526317,SQUASH,vegetables,4.700000000000017
11477,SQUASH,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW",3.4,16,1.2,0.2,67.32673267326733,23.76237623762376,8.910891089108912,SQUASH,vegetables,5.000000000000014
11478,SQUASH,"SQUASH,SMMR,ZUCCHINI,INCL SKN,CKD,BLD,DRND,WO/SALT",3.9,16,0.6,0.1,82.53968253968254,12.698412698412698,4.761904761904763,SQUASH,vegetables,4.700000000000017
11479,SQUASH,"SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,UNPREP",3.6,17,1.2,0.1,71.64179104477613,23.88059701492537,4.477611940298508,SQUASH,vegetables,5.000000000000014
11480,SQUASH,"SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,CKD,BLD,DRND,WO/SALT",3.6,17,1.1,0.1,73.09644670050763,22.335025380710665,4.568527918781727,SQUASH,vegetables,4.900000000000013
11481,SQUASH,"SQUASH,SMMR,ZUCCHINI,ITALIAN STYLE,CND",6.8,29,1.0,0.1,84.73520249221184,12.461059190031152,2.803738317757009,SQUASH,vegetables,8.000000000000007
11482,SQUASH,"SQUASH,WINTER,ACORN,RAW",10.4,40,0.8,0.1,91.02844638949672,7.00218818380744,1.9693654266958425,SQUASH,vegetables,11.400000000000013
11483,SQUASH,"SQUASH,WNTR,ACORN,CKD,BKD,WO/SALT",14.6,56,1.1,0.1,91.67974882260596,6.907378335949765,1.4128728414442702,SQUASH,vegetables,15.900000000000006
11484,SQUASH,"SQUASH,WNTR,ACORN,CKD,BLD,MSHD,WO/SALT",8.8,34,0.7,0.1,90.48843187660668,7.197943444730077,2.3136246786632397,SQUASH,vegetables,9.70000000000001
11485,SQUASH,"SQUASH,WNTR,BUTTERNUT,RAW",11.7,45,1.0,0.1,90.52224371373308,7.7369439071566735,1.740812379110252,SQUASH,vegetables,12.900000000000013
11486,SQUASH,"SQUASH,WNTR,BUTTERNUT,CKD,BKD,WO/SALT",10.5,40,0.9,0.1,90.32258064516128,7.741935483870968,1.935483870967742,SQUASH,vegetables,11.600000000000009
11487,SQUASH,"SQUASH,WNTR,BUTTERNUT,FRZ,UNPREP",14.4,57,1.8,0.1,87.67123287671232,10.95890410958904,1.36986301369863,SQUASH,vegetables,16.400000000000013
11488,SQUASH,"SQUASH,WNTR,BUTTERNUT,FRZ,CKD,BLD,WO/SALT",10.1,39,1.2,0.1,87.6355748373102,10.412147505422997,1.952277657266812,SQUASH,vegetables,11.500000000000007
11489,SQUASH,"SQUASH,WINTER,HUBBARD,RAW",8.7,40,2.0,0.5,73.57293868921776,16.913319238900634,9.513742071881609,SQUASH,vegetables,11.70000000000001
11490,SQUASH,"SQUASH,WNTR,HUBBARD,CKD,BKD,WO/SALT",10.8,50,2.5,0.6,73.72013651877133,17.064846416382252,9.215017064846414,SQUASH,vegetables,14.500000000000007
11491,SQUASH,"SQUASH,WNTR,HUBBARD,CKD,BLD,MSHD,WO/SALT",6.5,30,1.5,0.4,73.03370786516854,16.853932584269664,10.112359550561797,SQUASH,vegetables,8.800000000000011
