id,category,description,carbohydrate,kilocalories,protein,fat,fiber,sugar,carb_percentage,protein_percentage,fat_percentage,generic_category,nutritional_score
18265,ENGLISH MUFFINS,"ENGLISH MUFFINS,WHEAT,TSTD",48.7,243,9.4,2.1,5.0,1.700000048,77.51691205730204,14.962196577795464,7.520891364902507,bakedGoods,65.53220849252949
18260,ENGLISH MUFFINS,"ENGLISH MUFFINS,MIXED-GRAIN (INCL GRANOLA)",46.3,235,9.1,1.8,2.799999952,0.810000002,77.88057190916737,15.306980656013458,6.812447434819176,bakedGoods,65.04137609563008
18437,ENGLISH MUFFINS,"ENGLISH MUFFINS,PLN,ENR,WO/CA PROP (INCL SOURDOUGH)",46.0,235,7.7,1.8,2.700000048,0.0,79.65367965367966,13.333333333333334,7.012987012987012,bakedGoods,64.62356016210602
18261,ENGLISH MUFFINS,"ENGLISH MUFFINS,MIXED-GRAIN,TSTD (INCL GRANOLA)",50.3,255,9.9,1.9,3.0,0.879999995,78.01473439317566,15.35478867778209,6.630476929042264,bakedGoods,63.88528332337896
18262,ENGLISH MUFFINS,"ENGLISH MUFFINS,RAISIN-CINNAMON (INCLUDES APPLE-CINNAMON)",48.1,240,7.9,1.8,2.599999905,14.76000023,80.0999167360533,13.155703580349709,6.744379683597003,bakedGoods,58.26302130865824
18263,ENGLISH MUFFINS,"ENGLISH MUFFINS,RAISIN-CINNAMON,TSTD (INCL APPLE-CINNAMON)",55.0,276,8.9,2.2,3.0,13.34000015,79.88380537400145,12.92665214233842,7.189542483660132,bakedGoods,56.5674186202766
9090,FIGS,"FIGS,CND,H2O PK,SOL&LIQUIDS",14.0,53,0.4,0.1,2.200000048,11.78999996,95.72649572649571,2.735042735042735,1.5384615384615383,fruits,71.14230101915504
9093,FIGS,"FIGS,CND,EX HVY SYRUP PK,SOL&LIQUIDS",27.9,107,0.4,0.1,0.0,0.0,97.80893952673094,1.4022787028922,0.7887817703768625,fruits,70.11601507710952
9089,FIGS,"FIGS,RAW",19.2,74,0.8,0.3,2.900000095,16.26000023,92.8657799274486,3.869407496977025,3.2648125755743647,fruits,68.22570189560997
9091,FIGS,"FIGS,CND,LT SYRUP PK,SOL&LIQUIDS",17.9,69,0.4,0.1,1.799999952,16.14999962,96.62618083670716,2.159244264507423,1.2145748987854252,fruits,67.81599898557342
9092,FIGS,"FIGS,CND,HVY SYRUP PK,SOL&LIQUIDS",22.9,88,0.4,0.1,2.200000048,20.70000076,97.3432518597237,1.7003188097768334,0.9564293304994688,fruits,64.68846330960375
9095,FIGS,"FIGS,DRIED,STEWED",27.6,107,1.4,0.4,4.199999809,23.35000038,92.3076923076923,4.682274247491638,3.0100334448160537,fruits,63.78387139356885
9094,FIGS,"FIGS,DRIED,UNCOOKED",63.9,249,3.3,0.9,9.800000191,47.91999817,92.30769230769228,4.767063921993499,2.925243770314192,fruits,46.73454599536559
35040,FISH,"FISH,HERRING EGGS,PACIFIC,DRY (ALASKA NATIVE)",2.8,312,60.4,6.6,0.0,0.0,3.587443946188341,77.38629083920564,19.026265214606024,fish,81.10903790139753
35046,FISH,"FISH,LINGCOD,MEAT,RAW (ALASKA NATIVE)",0.0,79,17.9,0.8,0.0,0.0,0.0,90.86294416243656,9.137055837563452,fish,80.73584303060989
15262,FISH,"FISH,TILAPIA,CKD,DRY HEAT",0.0,128,26.1,2.6,0.0,0.0,0.0,81.69014084507043,18.30985915492958,fish,80.31397056798038
15261,FISH,"FISH,TILAPIA,RAW",0.0,96,20.1,1.7,0.0,0.0,0.0,84.01253918495298,15.98746081504702,fish,80.208502452323
35188,FISH,"FISH,HALIBUT,CKD,W/ SKN (ALASKA NATIVE)",0.0,113,22.1,2.7,0.0,0.0,0.0,78.43833185448092,21.56166814551908,fish,79.55946789443146
35169,FISH,"FISH,SHEEFISH,RAW (ALASKA NATIVE)",0.0,115,22.2,2.8,0.0,0.0,0.0,77.89473684210526,22.105263157894736,fish,79.42154805087951
35149,FISH,"FISH,HALIBUT,RAW,W/ SKN (ALASKA NATIVE)",0.0,108,20.5,2.9,0.0,0.0,0.0,75.85568917668826,24.14431082331175,fish,79.13759543180196
35016,FISH,"FISH,BLACKFISH,WHL (ALASKA NATIVE)",0.0,82,15.5,1.8,0.0,0.0,0.0,79.28388746803068,20.71611253196931,fish,79.08080490798645
35039,FISH,"FISH,HERRING EGGS ON GIANT KELP,PACIFIC (ALASKA NATIVE)",2.6,63,11.3,0.8,0.0,0.0,16.560509554140125,71.97452229299363,11.46496815286624,fish,78.82119108482983
35091,FISH,"FISH,WHITEFISH,HEAD,EYES,CHEEKS & SOFT BONES (ALASKA NATIVE)",0.0,107,18.6,3.6,0.0,0.0,0.0,69.6629213483146,30.33707865168539,fish,78.12347893509643
35167,FISH,"FISH,SALMON,RED,(SOCKEYE),KIPPERED (ALASKA NATIVE)",0.0,141,24.5,4.8,0.0,0.0,0.0,69.40509915014165,30.59490084985836,fish,77.94499443167625
35152,FISH,"FISH,SALMON,CHUM,RAW (ALASKA NATIVE)",0.0,124,20.7,3.7,0.0,0.0,0.0,71.31782945736434,28.682170542635667,fish,77.74217113233514
35166,FISH,"FISH,SALMON,RED,(SOCKEYE),CND,SMOKED (ALASKA NATIVE)",0.0,206,35.2,7.3,0.0,0.0,0.0,68.18401937046006,31.81598062953995,fish,77.27162107786378
35150,FISH,"FISH,SALMON,COHO (SILVER),RAW (ALASKA NATIVE)",0.0,140,22.6,5.6,0.0,0.0,0.0,64.20454545454545,35.79545454545454,fish,76.90653913904978
35041,FISH,"FISH,HERRING EGGS,PACIFIC,PLN (ALASKA NATIVE)",4.5,74,9.6,1.9,0.0,0.0,24.489795918367346,52.24489795918367,23.265306122448976,fish,76.83352275128699
35066,FISH,"FISH,SALMON,KING,CHINOOK,SMOKED & CND (ALASKA NATIVE)",0.0,150,23.2,5.9,0.0,0.0,0.0,63.60520904729267,36.39479095270733,fish,76.31429510497375
35089,FISH,"FISH,WHITEFISH,MXD SP,RAW (ALASKA NATIVE)",0.0,131,18.9,6.1,0.0,0.0,0.0,57.93103448275861,42.06896551724138,fish,75.71393813892408
35034,FISH,"FISH,DEVILFISH,MEAT (ALASKA NATIVE)",0.0,97,11.7,5.3,0.0,0.0,0.0,49.52380952380952,50.476190476190474,fish,75.16225876471626
35171,FISH,"FISH,SALMON,CHUM,DRIED (ALASKA NATIVE)",0.0,378,62.1,14.4,0.0,0.0,0.0,65.71428571428571,34.285714285714285,fish,74.68359577827125
35088,FISH,"FISH,WHITEFISH,BROAD,LIVER (ALASKA NATIVE)",5.1,104,11.0,4.4,0.0,0.0,19.615384615384617,42.30769230769231,38.07692307692308,fish,74.4726595469565
7905,FRANKFURTER,"FRANKFURTER,BF,PORK,& TURKEY,FAT FREE",11.2,109,12.5,1.6,0.0,0.0,41.02564102564102,45.78754578754579,13.186813186813188,meats,75.47866311168839
42280,FRANKFURTER,"FRANKFURTER,MEAT & POULTRY,LO FAT",8.4,127,15.5,2.8,0.100000001,0.0,27.814569536423843,51.32450331125827,20.86092715231788,meats,75.25150101707538
42188,FRANKFURTER,"FRANKFURTER,BF & PORK,LO FAT",4.4,154,11.0,10.0,0.0,0.0,11.609498680738788,29.023746701846964,59.36675461741425,meats,69.05322098856212
43130,FRANKFURTER,"FRANKFURTER,MEATLESS",7.7,233,19.6,13.7,3.900000095,0.0,13.24731182795699,33.72043010752688,53.03225806451613,meats,68.46097701614438
7024,FRANKFURTER,"FRANKFURTER,CHICK",2.7,223,15.5,16.2,0.400000006,0.529999971,4.94053064958829,28.36230558096981,66.6971637694419,meats,64.18140535404669
