category,description,carbohydrate,protein,fat,kilocalories,feedback,generic_category,carb_percentage,fat_percentage,protein_percentage,nutritional_score,original_category
ALMONDS,"ALMONDS,HONEY RSTD,UNBLANCHED",27.9,18.2,49.9,594,approvato,nutsAndSeeds,17.61641673243883,70.89187056037885,11.49171270718232,36.04170066448699,ALMONDS
ALMONDS,"ALMONDS,BLANCHED",19.9,21.9,50.6,581,approvato,nutsAndSeeds,12.785094763893348,73.14487632508833,14.070028911018309,34.57325983852623,ALMONDS
ALMONDS,"ALMONDS,DRY RSTD,WO/SALT",19.3,22.1,52.8,597,approvato,nutsAndSeeds,12.047440699126094,74.15730337078652,13.795255930087396,33.770079919963294,ALMONDS
APRICOTS,"APRICOTS,CND,H2O PK,WO/SKN,SOL&LIQUIDS",5.5,0.7,0.0,22,approvato,fruits,88.70967741935483,0.0,11.29032258064516,77.89631685541121,APRICOTS
APRICOTS,"APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS",12.5,0.6,0.1,49,approvato,fruits,93.80863039399624,1.6885553470919326,4.50281425891182,75.95732611371024,APRICOTS
APRICOTS,"APRICOTS,CND,H2O PK,W/SKN,SOL&LIQUIDS",6.4,0.7,0.2,27,approvato,fruits,84.76821192052981,5.960264900662252,9.271523178807946,75.82346275155967,APRICOTS
CORN,"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,UNPREP",20.8,3.0,0.8,88,approvato,vegetables,81.25,7.03125,11.71875,74.3104009691419,CORN
CORN,"CORN,SWT,YEL,CND,BRINE PK,REG PK,SOL&LIQUIDS",15.4,1.9,0.5,64,approvato,vegetables,83.5820895522388,6.10583446404342,10.312075983717774,74.19276345584858,CORN
CORN,"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,BLD,DRND,WO/SALT",19.6,2.8,0.4,80,approvato,vegetables,84.12017167381974,3.862660944206008,12.017167381974248,73.69381818538865,CORN
CREAM SUB,"CREAM SUB,LIQ,LT",9.1,0.8,3.5,71,approvato,dairy,51.19549929676512,44.30379746835443,4.500703234880451,68.71247769111773,CREAM SUB
CREAM SUB,"CREAM SUB,FLAV,LIQ",35.1,0.7,13.5,251,approvato,dairy,53.04117869285984,45.90102002266716,1.057801284472988,42.62940119278468,CREAM SUB
CREAM SUB,"CREAM SUB,PDR,LT",73.4,1.9,15.7,431,approvato,dairy,66.35028248587571,31.932203389830505,1.7175141242937852,10.988966232550752,CREAM SUB
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",8.7,16.4,21.2,290,approvato,dairy,11.950549450549447,65.52197802197803,22.52747252747253,54.95294514859715,CHEESE SPRD
CHEESE SPRD,"CHEESE SPRD,CRM CHS BASE",3.5,7.1,28.6,295,approvato,dairy,4.66977985323549,85.85723815877252,9.472981987991991,49.76878168720968,CHEESE SPRD
PECANS,"PECANS,DRY RSTD,WO/SALT",13.6,9.5,74.3,710,approvato,nutsAndSeeds,7.147549599264223,87.85967678360268,4.992773617133098,12.019308989682536,PECANS
BLACKBERRY JUC,"BLACKBERRY JUC,CND",7.8,0.3,0.6,38,approvato,fruits,82.53968253968254,14.285714285714285,3.1746031746031744,72.48499129154119,BLACKBERRY JUC
BLACKBERRY JUC,"BLACKBERRY JUC,CND",7.8,0.3,0.6,38,approvato,fruits,82.53968253968254,14.285714285714285,3.1746031746031744,72.48499129154119,BLACKBERRY JUC
DANISH PASTRY,"DANISH PASTRY,CHEESE",37.2,8.0,21.9,374,approvato,sweets,39.37549616300609,52.156655199788304,8.467848637205611,44.67791695122639,DANISH PASTRY
DANISH PASTRY,"DANISH PASTRY,FRUIT,ENR",47.8,5.4,18.5,371,approvato,sweets,50.408647508568414,43.89665172686528,5.694700764566307,36.71913031212988,DANISH PASTRY
