id,category,description,carbohydrate,kilocalories,protein,fat,carb_percentage,protein_percentage,fat_percentage,original_category,generic_category,nutritional_score
8059,CEREALS RTE,"CEREALS RTE,QUAKER,SWT CRUNCH/QUISP",85.0,405,4.5,6.1,82.34439331557279,4.359409057883265,13.296197626543956,CEREALS RTE,cereals,
8064,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,RICE CHEX",85.4,382,6.5,1.6,89.42408376963351,6.806282722513089,3.769633507853403,CEREALS RTE,cereals,
8065,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES",85.2,387,6.8,1.0,90.39787798408489,7.2148541114058355,2.3872679045092835,CEREALS RTE,cereals,
8066,CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER PUFFED RICE",87.8,383,7.0,0.9,90.6790601600826,7.229537825974697,2.09140201394268,CEREALS RTE,cereals,
8068,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S CORN POPS",90.0,378,3.7,0.8,94.24083769633508,3.87434554973822,1.8848167539267016,CEREALS RTE,cereals,
8069,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD FLAKES",90.9,367,4.3,0.3,94.81095176010432,4.485006518904823,0.7040417209908735,CEREALS RTE,cereals,
8071,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S HONEY SMACKS",89.0,387,6.4,1.9,89.29019312766489,6.420867820416352,4.288939051918734,CEREALS RTE,cereals,
8073,CEREALS RTE,"CEREALS RTE,WHEAT,PUFFED,PRESWEETENED,SINGLE BRAND",90.9,398,5.5,1.4,91.31089904570568,5.524861878453038,3.164239075841285,CEREALS RTE,cereals,
8076,CEREALS RTE,"CEREALS RTE,CORN FLAKES,PLN,SINGLE BRAND",86.7,360,6.7,0.1,92.60347129506007,7.1562082777036045,0.2403204272363151,CEREALS RTE,cereals,
8079,CEREALS RTE,"CEREALS RTE,WAFFELOS",86.3,405,5.6,4.2,85.15046867291564,5.52540700542674,9.324124321657624,CEREALS RTE,cereals,
8081,CEREALS RTE,"CEREALS RTE,WHL WHEAT,SHREDDED,PRESWEETENED,SINGLE BRAND",81.2,385,9.8,3.8,81.5670517327976,9.844299347061778,8.588648920140631,CEREALS RTE,cereals,
8082,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,WHEAT CHEX",81.1,360,10.0,2.0,84.8326359832636,10.460251046025103,4.7071129707112975,CEREALS RTE,cereals,
8083,CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,CORN BURSTS",93.7,394,4.0,0.3,95.24777636594663,4.066073697585769,0.6861499364675984,CEREALS RTE,cereals,
